;input;path;Lev;generated
12017;mouse 11 20;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12018;mouse 11 21;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12019;mouse 11 22;О Ф Х А К И М Я Г Ц Ф О Ы О И Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
12020;mouse 11 23;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12021;mouse 11 24;О Ф Х А К Л К А Х Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
12022;mouse 11 25;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12023;mouse 11 26;О Ф Х А К И М Я Г Ц Г З У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
12024;mouse 11 27;О Ф Ц Г Ц Ф И К А Д Х Ц Г Я М Ф Х А К И М Я Г Ц Ф И К А Х Ц Г Ц Ф О Ы О Ф Х А К Л К И М Я Г Ц Х А Х Ф И К А Х Ц Г Я Э В Ж Т;53; О Ф Х А Х Ц Г Я Э Т
12025;mouse 12 1;О Ф Х А К И М Я Г З У Щ Т;4; О Ф Х А К И М Я Г Т
12026;mouse 12 2;О Ф Х А К И Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
12027;mouse 12 3;О Ф Х А Х Ц Г Я М И К А Х Ц Г Ц Ф О Ы О И Л Е Р;16; О Ф Х А Х Ц Г Я Э Т
12028;mouse 12 4;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
12029;mouse 12 5;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
12030;mouse 12 6;О Ф Х А К И Ф Х А Х Ц Г З У Щ Т;9; О Ф Х А Х Ц Г Я М Т
12031;mouse 12 7;О Ф Х А К И Ф Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
12032;mouse 12 8;О Ф Х А К И М Я Г Ц Х А Х Ц Г Ц Ф И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
12033;mouse 12 9;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
12034;mouse 12 10;О Ф Х А К Л Е Р Ш С Д А Х Ф М Я Г Ц Х А К Л Е Р;18; О Ф Х А Х Ц Г Я М Т
12035;mouse 12 11;О Ф Х А К И М Я Г Ц Г Я Э М Ф Х А К Л Е Р;13; О Ф Х А Х Ц Г Я М Т
12036;mouse 12 12;О Ф Х А К И М Я Г Ц Х Ц Г Я Э Ж Т Щ У З Г Я М Ф Х А К Л Е Р;21; О Ф Х А Х Ц Г Я М Т
12037;mouse 12 13;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
12038;mouse 12 14;О Ф Х А К И М Я Г Ц Х А Д Х Ф М И К А Х К Л Е Р;18; О Ф Х А Х Ц Г Я М Т
12039;mouse 12 15;О Ф Ц Г Я Э Ж Т Щ У З Г Ц Ф М Я Г Ц Х А Х Ц Г Ц Ф И Л Е Р;22; О Ф Х А Х Ц Г Я Э Т
12040;mouse 12 16;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
12041;mouse 12 17;О Ф Х А Х Ц Г Я Э Я Э Ж Т;4; О Ф Х А Х Ц Г Я Э Т
12042;mouse 12 18;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12043;mouse 12 19;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
12044;mouse 12 20;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12045;mouse 12 21;О Ф Ц Г Я М Я Э М И К А К И Ф Х А Д С Ш Р;17; О Ф Х А Х Ц Г Я Э Т
12046;mouse 12 22;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
12047;mouse 12 23;О Ф Х А К И К И М Я Г Ц Х А Д С Ш Р;13; О Ф Х А Х Ц Г Я Э Т
12048;mouse 12 24;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12049;mouse 13 1;О Ф Х А К И М Я Г Ц Х А К И М Я Г Я Э Ж Т;12; О Ф Х А К И М Я Г Т
12050;mouse 13 2;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12051;mouse 13 3;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12052;mouse 13 4;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
12053;mouse 13 5;О Ф Х А Х Ц Г Я М Ф Х А Х Ц Х Ф И Л Е Р Ш С Д А Х Ц Г З У Щ Т;22; О Ф Х А Х Ц Г Я М Т
12054;mouse 13 6;О Ф Х А К И Ф Ц Г Ц Ф М Я Г Ц Ф М Э Ж Т;12; О Ф Х А Х Ц Г Я М Т
12055;mouse 13 7;О Ф Х А К И М Я Г Ц Х А К Л Е Р;11; О Ф Х А Х Ц Г Я М Т
12056;mouse 13 8;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
12057;mouse 13 9;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
12058;mouse 13 10;О Ф Х А Х Ц Г Я Э Ж Т Ж Э М И К А Х Ц Г Я Э Я М И К А К И О Ы О И Л Е Р;27; О Ф Х А Х Ц Г Я М Т
12059;mouse 13 11;О Ф Х А К Х Ц Г З У Щ Т Ж Э М И К А Х Ц Г Я М Ф Х Ц Я М И Л К И Ф Х А Х Ц Г Ц Х К Л Е Р Ш С Д Х Ф М Я Г Ц Ф М Э Ж Т;49; О Ф Х А Х Ц Г Я М Т
12060;mouse 13 12;О Ф Х А К А Х Ц Г Ц Х А Д С Ш Р;9; О Ф Х А Х Ц Г Я М Т
12061;mouse 13 13;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
12062;mouse 13 14;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я М Т
12063;mouse 13 15;О Ф Х А Х Ц Г Я М И К А Х Ц Г Я Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
12064;mouse 13 16;О Ф Х А Х Ц Г Я Ц Ф И К А Х Ц Г Я Г Ц Х А К И Ф Х А Х Ц Г Ц Х А К И Ф Х А Х Ц Г Я Э Ж Щ У З Г Ц Х А К Л Е Р;46; О Ф Х А Х Ц Г Я М Т
12065;mouse 13 17;О Ф Х А К И Ф Х А К Х Ц Г Я М И К А Х Ц Г Я М И К А Х Ц Г Ц Ф И Л Е Р Ш С Д А Х Ц Г Ц Х А К Л Е Р Ш С Д А Х Ц Г З У З Г Ц Х А К И Ф Х А К И Ф Х А Д К И М Я Г Ц Х А К И М Я Г Ц Х А К И Ф Х А Х Ц Г Я М Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Я М И Л Е Р;113; О Ф Х А Х Ц Г Я М Т
12066;mouse 13 18;О Ф Х А Х Ц Г Я М Ф Х А Х Ц Г Я М И К А Х Ц Г Я М Ф Х А Х Ц Г З У Щ Т Ж Э М И Л Е Р Ш С Д А Х Ц Г Ц Ф Х А К А Х Ц Г Я Э Ж Т;53; О Ф Х А Х Ц Г Я М Т
12067;mouse 14 1;О Ф Х Ф Х А К И М Я Г З У Щ Т;6; О Ф Х А К И М Я Г Т
12068;mouse 14 2;О Ф Х А К И Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
12069;mouse 14 3;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
12070;mouse 14 4;О Ф Х А К И Ф Х А К И Ф Ц Г Я М Ф Х А Х Ц Г Ц Ф И Л Е Р;20; О Ф Х А Х Ц Г Я Э Т
12071;mouse 14 5;О Ф Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
12072;mouse 14 6;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12073;mouse 14 7;О Ф Ц Г Я З У Щ У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
12074;mouse 14 8;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
12075;mouse 14 9;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
12076;mouse 14 10;О Ф Х А Х Ц Г Ц Ф И Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
12077;mouse 14 11;О Ф Ц Г Ц Ф М Я Г Ц Х А К Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
12078;mouse 14 12;О Ф Ц Г Ц Х А К И М Я Г Ц Ф И Л Е Р;13; О Ф Х А Х Ц Г Я М Т
12079;mouse 14 13;О М Я Г Ц Х А К Л Е Р;9; О Ф Х А Х Ц Г Я Э Т
12080;mouse 14 14;О Ф Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
12081;mouse 14 15;О Ф Х А К И М Я Г Ц Ф И К А Д С Ш Р Ш С Д А Х Ц Г Ц Ф И Л Е Р;24; О Ф Х А Х Ц Г Я Э Т
12082;mouse 14 16;О Ф Х А Х Ц Г Ц Х А Х Ц Г З У Щ Т;10; О Ф Х А Х Ц Г Я Э Т
12083;mouse 14 17;О И К А Х Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я М Т
12084;mouse 14 18;О И К А Х Ц Г Ц Ф Х А К И Ф Х А Х Ц Г Ц Я М О Ы О Ф Х А Х Ф Ц Ф И К А К И М Я Г Ц Ф И Л Е Р;38; О Ф Х А Х Ц Г Я Э Т
12085;mouse 14 19;О Ф Х А К И Ф Ц Г Я М Э М Ф Х Ф И К А Х Ф И Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
12086;mouse 14 20;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
12087;mouse 15 1;О Ф Х А К Х Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
12088;mouse 15 2;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
12089;mouse 15 3;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
12090;mouse 15 4;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
12091;mouse 15 5;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Ц Ф О Ы О Ф Х А Д С Ш Р;20; О Ф Х А Х Ц Г Я Э Т
12092;mouse 15 6;О Ф Х А Х Ц Г Я З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
12093;mouse 15 7;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
12094;mouse 15 8;О Ф Х А Х Ц Г Ц Х А К Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
12095;mouse 15 9;О Ф Ц Г Ц Х А Х А Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
12096;mouse 15 10;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
12097;mouse 15 11;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
12098;mouse 15 12;О Ф Х А Д Х Ц Г Ц Ф Ц Ф О Ы О Ф Х А Д С Ш Р Е Л И Л И Л Е Р Ш С Д Х Ц З У Щ Т Ж Э М Э В Ж Т;38; О Ф Х А Х Ц Г Я Э Т
12099;mouse 15 13;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
12100;mouse 15 14;О Ф Х А Х К Х Ц Г З У Щ Т;6; О Ф Х А Х Ц Г Я Э Т
12101;mouse 15 15;О Ф Х А Д С Ш Р Е Л И М Я Г Ц Х А Х Ц Г Ц Х Ф И К А Д С Ш Р;23; О Ф Х А Х Ц Г Я Э Т
12102;mouse 15 16;О Ф Х А К И Ф Ц Г Я М Ф Х А Х Ф О Ы О И Л Е Р;16; О Ф Х А Х Ц Г Я Э Т
12103;mouse 15 17;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12104;mouse 15 18;О Ф Ц Г Я М Ф Х А К И М Я Г Ц Х А К Х Ф М Э Ж Т;18; О Ф Х А Х Ц Г Я Э Т
12105;mouse 15 19;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
12106;mouse 15 20;О Ф И К А Х Ц Г Ц Х А Х Ф Х А Д С Ш Е Л И М Я Г Ц Х К Л Е Р;23; О Ф Х А Х Ц Г Я Э Т
12107;mouse 15 21;О Ф М Я Г Ц Х А Д С Ш Р;9; О Ф Х А Х Ц Г Я Э Т
12108;mouse 15 22;О Ф М Я Г Ц Х А Х Ц Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
12109;mouse 15 23;О Ф Х А К И Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
12110;mouse 15 24;О Ф Х А К И Ф Х А Д Х Ц Г Я Э Я Ц Ф М Я М Ф Х А Х Ц Г Я М И К А Х Ф М Я Г Ц Х А К И О Ы О И Л Е Р Ш С Д С Ш Р;46; О Ф Х А Х Ц Г Я Э Т
12111;mouse 1 1;О М Я Г Я М О Ы О И К А К Л Е Ш С Д А Д С Ш Р Е Л К А К И О Ы О М Э Ж Щ У З Я Э В Э В Ж Т Ж Э М И Л Е Р Е Л К А Д С Ш Р Е Л И О Ы О М Э Ж Щ У З Г З У Щ Т;70; О Ф Х А К Л Е Р Ш Т
12112;mouse 1 2;О И К А К Л Е Ш С Д С Ш Е Л И М Э Ж Т Ж Э Я Г З У Щ Т Ж Э Я Г Я М О Ы О И Л И М Э Ж Т;37; О Ф Х А К Л Е Р Ш Т
12113;mouse 1 3;О Ф Х К И К Х Ф Ц Г Ц Я М Я М Ф Х А Д А Х Ц Г З У Щ Т Ж Э Я Г Я М Ф Х А Х Ф Ц Ф О Ы О Ф Х А К Л И О Ы О М Э М И Л Е Р;52; О Ф Х А К Л Е Р Ш Т
12114;mouse 1 4;О Ф Х А Д С Ш Р Ш С Д А Х Ц Я М Ф Ц Я Э В Ж Т Щ У З Г Я Г Ц Ф О Ы О И Л К А Х Ц Г Ц Ф Х А Х Ц Я М Ф Х Ц З У Щ Т Щ У Щ Ж Э Я Г З У К О Е Ц О Ы Т О Г О В Р Е М Е И У З Ц Х А К Л И М Я Г З У З Я М И М Я Г Ц Ф М Я Г Ц Х А К И Л Е Р;107; О Ф Х А К Л Е Р Ш Т
12115;mouse 2 1;О Ф Ц Я Э Я Г Я Э Я Ц Х А Д С Ш Р;13; О Ф Х А К Л Е Р Ш Т
12116;mouse 2 2;О Ф Ц Г Я М И Л К А Х Ц Г З У Щ У З Г Ц Ф О Ы О Ф Х А Х Ц З У Щ Т;29; О Ф Х А К Л Е Р Ш Т
12117;mouse 2 3;О Ф Ц Х Д С Ш Р Ш С Д А Х Ф О Ы О Ф Ц Г З У Щ Т Щ У З Г Ц Х Д С Ш Р;29; О Ф Х А К И М Я Г Т
12118;mouse 2 4;О Ф Ц Г Ц Х А К И М Я Г Ц Ф И К Х Ц Я М И К А Х Ц Г Ц Х А К Л И М Э Я Ц Х К Л Б Е Р Ш С Д А Х Ц З У Щ Т;43; О Ф Х А К И М Я Г Т
12119;mouse 2 5;О Ф Х А К И К А Х Ф И Ф Х А К Л Е Р Ш С Д Х Ф О Ы О Ф Ц Г З У Щ Т;26; О Ф Х А К И М Я Г Т
12120;mouse 2 6;О Ф Ц Я Э М Я Г Ц Х А К Л И Ф Х А К Х Ц Г З У Щ Т Щ У Щ У З Ц Ф Х А Х А К Л И О Ы О Ф Ц Я М Э Я Г Ц Х А Д С Ш С Д Х Ц Х А К Л И М Я Г Ц Ф Х А К И М Я Г Ц Х А Х Ц Я М И Л Е Р;78; О Ф Х А К И М Я Г Т
12121;mouse 3 1;О Ф Ц Г Я М Ф Х А К И М Я Г Ц Х А Х Ф Ц Я Э Ж Т Ж Э Я Г Ц Х А К Л Е Р;28; О Ф Х А К Л Е Р Ш Т
12122;mouse 3 2;О Ф Ц Г Я М Ф Х А Д С Ш Е Л И М Я Ц Х А К И О Ы О М Я Г Ц Х А К И Л Е Р Ш Е Ш С Д А Х Ф М Я Э Я Г Ц Я М И К А Х Ц Ф Х К И М Я Ц Ф М Я Г Я М И К А К Л Е Р Е Л И М Я Г Ц Х А Х Ц Я Г Я М И К А К Л Е Р Ш С Д С Ш Р;96; О Ф Х А К Л Е Р Ш Т
12123;mouse 3 3;О Ф Ц Г Я М О Ы О Ф Ц Г Я М И М Я Г Ц Х А Х Ф М Я Г Ц Х А К Л И М Я З У Щ Т;30; О Ф Х А К И М Я Г Т
12124;mouse 3 4;О Ф Ц Г Я Э Ж Т Ж Э Я Г Ц Х А К Л И М Я Г Ц Х А К А Х Ц Г Ц Я М И К А К И Ф М Я Э В Э Я Г Ц Х А К О Е Ц О Ы Т О Г О В Р Е М Е И К Л Е Р Е Л И М Я Г Ц Х А Д С Ш Р;72; О Ф Х А К И М Я Г Т
12125;mouse 4 1;О Ф Х А К И Ф Ц Г З У Щ Т;8; О Ф Х А К Л Е Р Ш Т
12126;mouse 4 2;О Ф Ц Х А К Л К А Х Ф Ц Г З У Щ Т Ж Э Я Ц Х А Д С Ш Р;21; О Ф Х А К И М Я Г Т
12127;mouse 4 3;О Ф Ц Г З У Щ Т Щ У З Г Ц Х А К И М Я Г Ц Х А Д С Ш Р;18; О Ф Х А К И М Я Г Т
12128;mouse 4 4;О Ф Ц Я Г Я Э Я Г З У Щ Т Щ У З Ц Ф М Я Г Ц Х А К Л И М Э М Ф Ц Я Г Ц Х А К Х Ф Ц Я Ц Ф Ц Г Ц Я Г Ц Х А Д С Ш Р;47; О Ф Х А К И М Я Г Т
12129;mouse 4 5;О Ф Х А К Л Е Р Е Л И М Э В Э М Ф Ц Г Я М Ф Ц Г Ц Х А Д С Ш Р;22; О Ф Х А К И М Я Г Т
12130;mouse 4 6;О Ф Х А К И К А Х Ц Г Я М И Л Е Р;10; О Ф Х А К И М Я Г Т
12131;mouse 4 7;О Ф Ц Г Я М И К А Х Ф Ц Х А Х Ц Х А Х Ф М Я Г Ц Х Ф М Я Г Ц Х А К И М Я Г Ц Х А К Л И О Ы О Ф Ц Г Я Э Ж Т Ж Э М Ф Х А К Л И О Ы О М Э М И Л Е Р Ш Р;65; О Ф Х А К И М Я Г Т
12132;mouse 10 11;О Ф Х;6; О Ф Х А Х Ц Г Я Э Т
12133;mouse 10 1;О Ф Ц Г Я М И К А Х Ф И Л Е Р;11; О Ф Х А К И М Я Г Т
12134;mouse 10 2;О Ф Ц Г Я М И К А Х Ф И Л Е Р;11; О Ф Х А К И М Я Г Т
12135;mouse 10 3;О Ф Х А К И М Я Г Ц Х К И М Э Ж Т Ж Э Я Г Ц Х А К Л Е Р;22; О Ф Х А Х Ц Г Я Э Т
12136;mouse 10 4;О М Я Г Ц Х А Х Ц Г Я М И К А К Л Е Р;11; О Ф Х А Х Ц Г Я М Т
12137;mouse 10 5;О М Я Г Ц Х А К И М Я Г Ц Х А К И М Я Ц Х А К Л Е Р;21; О Ф Х А Х Ц Г Я М Т
12138;mouse 10 6;О Ф Ц Г Я М И К А Х Ф И Л Е Р Ш С Д С Ш Р;17; О Ф Х А Х Ц Г Я М Т
12139;mouse 10 7;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
12140;mouse 10 8;О Ф Ц Г Я М И К А Х Ф И К А Х Ф И Л Е Р;15; О Ф Х А Х Ц Г Я М Т
12141;mouse 10 9;О Ф Ц Г Я М И К А Х Ф И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
12142;mouse 10 10;О Ф Ц Г Я М И К А К Л Е Р;10; О Ф Х А Х Ц Г Я М Т
12143;mouse 10 11;А Х Ц Г Я М И К А К Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
12144;mouse 10 12;О Ф Ц Г Я М И К А Х Ф И К А К Л Е Р;14; О Ф Х А Х Ц Г Я М Т
12145;mouse 10 13;О Ф Ц Г Я М И К А Х Ф Х А Х Ц Х А К Л Е Р;15; О Ф Х А Х Ц Г Я М Т
12146;mouse 10 14;О Ф Ц Г Я Э Ж Т Ж Э Я Г Я М И К А К Л К Х Ц Г Я М И Л Е Р;22; О Ф Х А Х Ц Г Я Э Т
12147;mouse 10 15;О Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
12148;mouse 10 16;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
12149;mouse 10 17;О Ф Ц Г Ц Х А Х Ц Г Я Э М Я Г Ц Х А К Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
12150;mouse 10 18;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
12151;mouse 10 19;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
12152;mouse 10 20;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
12153;mouse 10 21;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
12154;mouse 10 22;О Ф Х А К И М Я Г Ц Х А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
12155;mouse 5 1;О Ф Ц Г Я Э Ж Т Ж Э Я Г Ц Х А К Л Е Р Е Л К Д С Ш Р;17; О Ф Х А К Л Е Р Е Т
12156;mouse 5 2;О Ф Х А К Л И Ф Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
12157;mouse 5 3;О Ф Ц Г Ц Х А К Л К А Х Ц З У Щ Т Щ У З Г Ц Ф О Ы О И К А К Л Е Р Е Л И Ф Ц Я М Ф Х А К Л И Ф Ц Я Э В Э М О Ы О М Я Г Ц Х Д С Ш Р;56; О Ф Х А К И М Я Г Т
12158;mouse 5 4;О Ф Ц Г Я Ц Ф М Я М Ф Х А К Л К А Х Ц Г З У Щ Т Щ У З Г Ц Х А К Л Е Р Е Л И М Я Г Я Ц Х А Х Ф М Я Г Ц Х А Х Ф М О Ы О Ф Х А Д С Ш Р;57; О Ф Х А К И М Я Г Т
12159;mouse 5 5;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я Э М Ф Х А Д С Ш Р;20; О Ф Х А К И М Я Г Т
12160;mouse 5 6;О Ф Ц Г Ц Х А К И Ф Ц Г Я М Ф Х А К Л К Х Ц Г Ц Х А Х Ц З У Щ У Щ Ж Э Я Ц Ф М Я Ц Х А К Л Е Р;39; О Ф Х А К И М Я Г Т
12161;mouse 5 7;О Ф Х А Х Ф О Ы О Ф Х А К И М Я Г Ц Х А Д С Ш Р;15; О Ф Х А К И М Я Г Т
12162;mouse 5 8;О Ф Х А Д С Ш Р Ш С Д Х Ц Г Я М Ф Х А Х Ц Х Ф М Я Г Ц Х К И Ф Ц Г Ц Х Ф Ц Г Я М Ф Х К И М Я Г Ц Х Ф И Л Е Р;45; О Ф Х А К И М Я Г Т
12163;mouse 6 1;О Ф Ц Г Ц Х К Л И Ф Х А К И М Я Г Ц Х Ц Г Я М И Л К А Х Ф О Ы О М Э Ж Т;30; О Ф Х А К Л Е Р Т
12164;mouse 6 2;О Ф Х А К И М Я Г Ц Х А К Л Е Р;7; О Ф Х А К И М Я Г Т
12165;mouse 6 3;О Ф Ц Г Ц Х А К И М Я Г Ц Х А К Л Е Р Ш С Д А Х Ф Х Ц Я М И К А Х Ф И К А Х Ц Х А Х Ц Я Э М И Л Е Р;41; О Ф Х А К И М Я Г Т
12166;mouse 6 4;О Ф Х А К И М Я Г Ц Х А К И М Я Г Ц Х А К И Ф Ц Г Я М Ф Х К Л Е Р Е Л И М Я Г Ц Х Ц Ф Х А Х Ф И Л Е Р;42; О Ф Х А К И М Я Г Т
12167;mouse 6 5;О Ф Х А К Л Е Ш С Д А Х Ц Г Я Э Я Г З У Щ Т Щ У З Г Ц Ф М Я Г Я Э М И К А Х Ф И К А Д С Ш Р;38; О Ф Х А К И М Я Г Т
12168;mouse 6 6;О М Я Г Ц Х А К Л Е Р;8; О Ф Х А К И М Я Г Т
12169;mouse 6 7;О Ф Ц Г Я М О Ы О И Л Е Р Е Л К А Х Ц Г Я М Ф Х А Х Ц Г Ц Х А Х Ф М Я Ц Х А К И К Л Е Р;38; О Ф Х А К И М Я Г Т
12170;mouse 6 8;О Ф Х А К И М Я Г Ц Х А Х Ф М Я Г Ц Х Ф М Я Г Я М И К А Х Ц Г Я М И Л Е Р Е Л И М Э Ж Т;35; О Ф Х А Х Ц Г Я М Т
12171;mouse 7 1;О Ф Ц Г Я М И К А Х Ф М Я Г Ц Х А Д С Ш Р;16; О Ф Х А К Л Е Р Т
12172;mouse 7 2;О Ф Ц Г Я М И К А Х Ц Г З У Щ Т;12; О Ф Х А К И М Я Г Т
12173;mouse 7 3;О Ф Х А К И М Я Г Ц Ф О Ы О М Я Г Ц Х А К Л Е Р Е Л И Ф Ц З У Щ Т;24; О Ф Х А К И М Я Г Т
12174;mouse 7 4;О Ф Х А Х Ц Я Э Ж Т Ж Э Я Г Ц Х А Х Ф И Л Е Р;17; О Ф Х А К И М Я Г Т
12175;mouse 7 5;О Ф Х А Х Ц Г Я М И К А Х Ф М Я Г Ц Х А К Л Е Р;16; О Ф Х А К И М Я Г Т
12176;mouse 7 6;О Ф Х А Х Ц Г Я Э Я Г Ц Х К Х Ф М Я Г Ц Ф О Ы О Ф Ц Г З У Щ Т;23; О Ф Х А К И М Я Г Т
12177;mouse 7 7;О Ф Ц Г Я М И К А Х Ф М Я Г Ц Х А К Л К И М Я Г З У Щ Т;22; О Ф Х А Х Ц Г Я Э Т
12178;mouse 7 8;О Ф Ц Г Ц Х А К Л И М Я Г З У Щ Т;12; О Ф Х А Х Ц Г Я М Т
12179;mouse 7 9;О Ф Ц Г Я М И К А К Л Е Р Е Л И М Э Я Г Ц Х К Л Е Р;22; О Ф Х А Х Ц Г Я М Т
12180;mouse 7 10;О Ф Ц Г Я М И К А Х Ф М Я Г Ц Х К И М Я Г З У З Г Ц Х Ц Г Ц Х К И М Я Г Ц Ф М Я Г Ц Х А К И М Э В Ж Т Ж Э Я М Э Я Г Ц Х Ц Г Я М И К А К Л Е Р;62; О Ф Х А Х Ц Г Я М Т
12181;mouse 7 11;О Ф Ц Г Я Э М И К А К Л Е Р;11; О Ф Х А Х Ц Г Я М Т
12182;mouse 7 12;О Ф Х А Х Ц Г Я М И К А Х Ц Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
12183;mouse 7 13;О Ф Х А К И М Я Г Ц Х Ф М Я Г Ц Х А Д С Ш Р;16; О Ф Х А Х Ц Г Я М Т
12184;mouse 7 14;О Ф Ц Г Я М Ф Ц Г З У Щ У З Г Ц Х А К А К Л Е Р;20; О Ф Х А Х Ц Г Я М Т
12185;mouse 7 15;О Ф Х А К И М Я Г Ц Х А К Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
12186;mouse 8 1;О Ф Ц Г Я М И К А Х Ц Г Я М И Л Е Р;12; О Ф Х А К Л Е Р Т
12187;mouse 8 2;О Ф Ц Г Я М И К А Х Ф Ц Г Я Э Ж Т Ж Э М И К А Х Ц Г Я Г Ц Х А Д С Ш Р Е Л К А Х Ц Г Ц Х Д С Ш Р;42; О Ф Х А К И М Я Г Т
12188;mouse 8 3;О Ф Ц Г Я М И К А Х Ц Г Ц Х А К И М Я Г Ц Ф Ц Г Я М И Л Е Р;21; О Ф Х А К И М Я Г Т
12189;mouse 8 4;О Ф Ц Г Ц Х А К Х Ц Г Я М И Л Е Р;11; О Ф Х А К И М Я Г Т
12190;mouse 8 5;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А К И М Я Г Т
